iteration, mae_loss, mse_loss,rmse_loss
296,0.2929,0.19962,0.41692
297,0.34449,0.23843,0.46756
298,0.3473,0.23577,0.47212
299,0.35602,0.2527,0.48267
300,0.27196,0.17685,0.39317
301,0.30221,0.21398,0.43651
302,0.3004,0.21737,0.44883
303,0.35317,0.23612,0.47161
304,0.44168,0.40349,0.6134
305,0.31484,0.20448,0.43123
306,0.47316,0.44773,0.64783
307,0.31621,0.2249,0.45419
308,0.34155,0.22019,0.45241
309,0.26784,0.19231,0.41048
310,0.29091,0.19715,0.42052
311,0.2997,0.18739,0.42175
312,0.28703,0.20162,0.41697
313,0.27422,0.16933,0.38996
314,0.25292,0.17574,0.37988
315,0.35128,0.22928,0.466
316,0.24173,0.15961,0.37368
317,0.25926,0.17051,0.38644
318,0.27708,0.18064,0.39188
319,0.27736,0.20379,0.41671
320,0.24206,0.16841,0.37716
321,0.27434,0.16712,0.38556
322,0.32359,0.1979,0.4313
323,0.40886,0.30212,0.5308
324,0.33376,0.23978,0.46448
325,0.34493,0.21164,0.4518
326,0.25971,0.16271,0.37914
327,0.26799,0.1655,0.38697
328,0.26994,0.1684,0.38276
329,0.35051,0.23139,0.46392
330,0.26629,0.17614,0.38918
331,0.26741,0.16628,0.38769
332,0.30098,0.18665,0.4177
333,0.23493,0.14244,0.35264
334,0.24005,0.15123,0.36173
335,0.25522,0.15243,0.35961
336,0.26102,0.15771,0.37382
337,0.21925,0.13582,0.33766
338,0.23684,0.14931,0.36656
339,0.24921,0.15454,0.37305
340,0.26332,0.16353,0.38161
341,0.25808,0.16207,0.37668
342,0.24749,0.15871,0.37484
343,0.29928,0.19881,0.42124
344,0.22642,0.13864,0.34119
345,0.25248,0.14993,0.36463
346,0.2799,0.17215,0.38761
347,0.30325,0.17938,0.41013
348,0.22827,0.13962,0.34247
349,0.28963,0.17583,0.40096
350,0.28139,0.17766,0.4074
351,0.2527,0.1547,0.37079
352,0.25125,0.15436,0.36818
353,0.2515,0.14979,0.36381
354,0.27344,0.1735,0.39333
355,0.23358,0.13401,0.34715
356,0.27034,0.17926,0.39907
357,0.25201,0.14149,0.36048
358,0.28937,0.1925,0.41751
359,0.28533,0.17783,0.40227
360,0.25061,0.14661,0.35919
361,0.26853,0.16277,0.3842
362,0.25842,0.15017,0.37213
363,0.27511,0.16147,0.37787
364,0.36271,0.25016,0.4915
365,0.28165,0.1777,0.39345
366,0.30209,0.24289,0.46321
367,0.28277,0.18488,0.40171
368,0.2723,0.15742,0.38025
369,0.24389,0.14096,0.35071
370,0.28014,0.177,0.39765
371,0.27561,0.16627,0.38871
372,0.24966,0.14337,0.35409
373,0.23517,0.13828,0.35129
374,0.2304,0.13462,0.33944
375,0.23421,0.13293,0.34607
376,0.28297,0.19331,0.41695
377,0.29963,0.16752,0.39349
378,0.24061,0.14547,0.36272
379,0.24728,0.14259,0.35428
380,0.23925,0.1372,0.35068
381,0.28355,0.16055,0.3878
382,0.33778,0.22063,0.45961
383,0.31031,0.18697,0.41782
384,0.24004,0.14269,0.35111
385,0.24961,0.13945,0.35289
386,0.24348,0.13436,0.34927
387,0.2813,0.16752,0.39419
388,0.24473,0.13301,0.34755
389,0.21902,0.12471,0.32618
390,0.22406,0.1294,0.34036
391,0.25353,0.13969,0.35683
392,0.29896,0.18392,0.41529
393,0.24269,0.13582,0.34875
394,0.31766,0.18619,0.42085
395,0.23945,0.14308,0.35721
396,0.29166,0.16609,0.3959
397,0.27999,0.15783,0.38059
398,0.26622,0.14565,0.364
399,0.24852,0.14114,0.35427
400,0.26887,0.16403,0.38583
401,0.29316,0.17696,0.40785
402,0.34002,0.21948,0.45808
403,0.28131,0.15562,0.38025
404,0.31346,0.1828,0.41642
405,0.24456,0.13903,0.35864
406,0.24426,0.14818,0.36512
407,0.25366,0.14076,0.35845
408,0.25513,0.13648,0.34879
409,0.2712,0.15272,0.37479
410,0.27903,0.15629,0.37992
411,0.30003,0.1836,0.4091
412,0.24193,0.13126,0.3362
413,0.30068,0.17185,0.40504
414,0.30211,0.1774,0.40891
415,0.29679,0.20159,0.4276
416,0.24312,0.12846,0.34308
417,0.25677,0.14222,0.35967
418,0.24016,0.13028,0.34824
419,0.26652,0.14834,0.36517
420,0.291,0.16493,0.39545
421,0.35249,0.23784,0.47559
422,0.25777,0.15118,0.36658
423,0.34503,0.24367,0.48122
424,0.28494,0.16411,0.39202
425,0.26159,0.14334,0.36612
426,0.24027,0.13641,0.34679
427,0.20413,0.10638,0.30654
428,0.23569,0.14059,0.3534
429,0.2655,0.14957,0.37496
430,0.2541,0.1434,0.36407
431,0.27547,0.14695,0.36914
432,0.3148,0.18039,0.41396
433,0.24084,0.13112,0.34298
434,0.24976,0.1377,0.35375
435,0.24644,0.13212,0.34682
436,0.35039,0.25155,0.47847
437,0.22853,0.13197,0.34275
438,0.2713,0.14888,0.37015
439,0.23451,0.13627,0.34746
440,0.2213,0.11425,0.32266
441,0.22908,0.1245,0.33781
442,0.24995,0.12682,0.34737
443,0.25672,0.13748,0.35353
444,0.26419,0.14222,0.3644
445,0.23062,0.1159,0.32391
446,0.28855,0.14714,0.37163
447,0.2306,0.12006,0.33315
448,0.21894,0.11199,0.31654
449,0.27098,0.14956,0.37436
450,0.24913,0.12537,0.34009
451,0.25497,0.13737,0.35524
452,0.24356,0.1316,0.34334
453,0.25722,0.13743,0.35648
454,0.28166,0.15637,0.38123
455,0.40937,0.27681,0.52073
456,0.40888,0.25508,0.50069
457,0.3893,0.26794,0.51
458,0.32246,0.1936,0.42876
459,0.27197,0.15924,0.37889
460,0.25974,0.14356,0.36159
461,0.27246,0.15402,0.37596
462,0.20283,0.10491,0.30201
463,0.2521,0.15303,0.37181
464,0.25732,0.1368,0.35152
465,0.29139,0.16997,0.39553
466,0.26733,0.13397,0.35397
467,0.21603,0.11689,0.31995
468,0.25136,0.12884,0.34262
469,0.25157,0.13878,0.34804
470,0.24753,0.13811,0.34946
471,0.29219,0.193,0.42406
472,0.24509,0.12894,0.34713
473,0.24856,0.13331,0.34609
474,0.31552,0.19719,0.42538
475,0.26505,0.13626,0.35432
476,0.24753,0.14037,0.35734
477,0.24255,0.12738,0.34347
478,0.23704,0.1252,0.33866
479,0.22635,0.12097,0.3309
480,0.27198,0.14666,0.37178
481,0.27329,0.14807,0.37157
482,0.21153,0.10956,0.31187
483,0.25258,0.12998,0.34297
484,0.22953,0.12482,0.33643
485,0.2754,0.14545,0.36857
486,0.21053,0.11049,0.31617
487,0.21569,0.11676,0.32096
488,0.25777,0.13617,0.35299
489,0.30785,0.16297,0.39572
490,0.24137,0.11923,0.32955
491,0.25421,0.13688,0.35143
492,0.28724,0.15126,0.3749
493,0.25261,0.13024,0.34512
494,0.31845,0.18242,0.41796
495,0.3467,0.24013,0.47691
496,0.26027,0.14293,0.36551
497,0.32837,0.19027,0.42324
498,0.20603,0.10276,0.30297
499,0.21993,0.11355,0.31455
500,0.28236,0.15086,0.37855
